cod_disciplina,disciplina,creditos,horas_teoria,horas_pratica,cod_departamento
LET1311,Espanhol Comercial,4,3,0,633
LET1321,Espanhol A,6,4,0,633
LET1330,Tex Cient P/Bio:Leit Producao,2,2,0,633
LET1331,Oficina De Texto Lic Biologia,4,2,2,633
LET1414,Teorias Do Significado,4,4,0,633
LET1501,Alemao 1,4,2,1,633
LET1502,Alemao 2,4,2,1,633
LET1521,Alemao 3,4,2,0,633
LET1553,Oficina Prod Textual Avancada,4,2,0,633
LET1613,Latim I,4,4,0,633
LET1614,Latim Ii,4,4,0,633
LET1710,Est Superv Ensino:Portugues I,5,5,6,633
LET1711,Est Superv Ensino:Portugues Ii,5,5,6,633
LET1712,Est Sup Ens Bilingue I,5,4,5,633
LET1713,Est Sup Ens: Bilingue Ii,5,4,5,633
LET1714,Est Sup Ens: Bilingue Iii,2,1,2,633
LET1715,Est Superv Ensino:Ingles I,5,3,2,633
LET1716,Est Superv Ensino: Ingles Ii,5,3,2,633
LET1717,Est Superv Ensino:Ingles Iii,2,1,2,633
LET1797,Tecn De Comunic P/ Empreended,4,4,0,633
LET1800,Elaboracao De Texto Escrito,4,4,0,633
LET1801,Lingua Brasileira De Sinais I,2,1,0,633
LET1802,Lingua Brasileira De Sinais Ii,2,1,0,633
LET1804,Introducao A Linguistica,4,4,0,633
LET1805,Producao De Texto,4,4,0,633
LET1806,Fonologia,4,4,0,633
LET1807,Estruturas Lexicais Portugues,4,4,0,633
LET1808,Sintaxe,4,4,0,633
LET1830,Linguagem E Sentido,4,4,0,633
LET1831,Aquisicao Proc Da Linguagem,4,4,0,633
LET1832,Linguagem E Sociedade,4,4,0,633
LET1833,Lingua E Cognicao,4,4,0,633
LET1835,Linguist Aplic Lingua Materna,4,4,0,633
LET1840,Estudos De Literatura,4,4,0,633
LET1847,Literatura E Nacionalidade,4,4,0,633
LET1848,Teorias De Literatura,4,4,0,633
LET1856,Literatura E Modernidade,4,4,0,633
LET1866,Literatura E Contemporaneidade,4,4,0,633
LET1869,A Modernidade Periferica,4,4,0,633
LET1870,Lingua Chinesa I,4,2,0,633
LET1871,Lingua Chinesa Ii,4,2,0,633
LET1872,Lingua Chinesa Iii,4,2,0,633
LET1873,Lingua Chinesa Iv,4,2,0,633
LET1880,Introducao A Cultura Chinesa,4,2,0,633
LET1881,Lingua Latina I,4,4,0,633
LET1883,Cultura Greco-Latina,4,4,0,633
LET1884,"Imagens,Mitos Literat Moderna",4,4,0,633
LET1885,Grego I,4,4,0,633
LET1886,Grego Ii,4,4,0,633
LET1888,Mitologia I,4,4,0,633
LET1889,Mitologia Ii,4,4,0,633
LET1890,Top Em Letras Classicas I,4,4,0,633
LET1892,Mito E Cinema,4,4,0,633
LET1895,Realismos Na Literatura,4,4,0,633
LET1896,O Fato E A Ficcao,4,4,0,633
LET1897,Lit Africana Ling Portuguesa,4,4,0,633
LET1898,"Liter,Cultura E Africanidade",4,4,0,633
LET1900,Ling Ingl:Texto E Contexto I,4,4,0,633
LET1901,Ling Ingl:Texto E Contexto Ii,4,4,0,633
LET1902,Lingua Inglesa:Discurso Oral,4,4,0,633
LET1903,Ling Inglesa:Discurso Escrito,4,4,0,633
LET1905,Lin Ing:Asp Lexico-Gramaticais,4,4,0,633
LET1906,Lin Ingl:Ofic Prod Esc/Gramat,4,2,0,633
LET1907,Ling Inglesa:Oficina Literaria,4,2,0,633
LET1908,Ling Ingl:Oficina Produc Oral,4,4,0,633
LET1909,Ling Ingl:Asp Sociossemioticos,4,4,0,633
LET1910,Anal E Prod Do Texto Acad,4,2,1,633
LET1913,Lit Cult Nor-Amer:Nacao/Ident,4,4,0,633
LET1914,Lit/Cult Brit:Obras Fundadoras,4,4,0,633
LET1920,Compreensao Prod Texto Tecnico,2,2,0,633
LET1921,Introducao A Traducao,4,2,0,633
LET1922,Traducao Tecnico-Cientifica,4,1,1,633
LET1925,Estudos Da Traducao,4,3,0,633
LET1932,Versao,4,1,1,633
LET1933,Topicos Em Traducao,4,4,0,633
LET1938,Estag Superv De Traducao I,6,1,0,633
LET1939,Estag Superv De Traducao Ii,6,1,0,633
LET1945,Leitura E Praticas Pedagogicas,4,4,0,633
LET1947,Arq Liter E Memoria Cultural,4,4,0,633
LET1960,Oficina De Texto Narrativo I,4,2,0,633
LET1961,Oficina De Texto Ensaistico,4,2,0,633
LET1967,Oficina De Texto Narrativo Ii,4,2,0,633
LET1974,Oficina Dramaturgia P/Cinema,4,2,0,633
LET1979,Oficina Texto Infanto-Juvenil,4,2,0,633
LET1988,Projeto De Autoria I,2,1,0,633
LET1989,Projeto De Autoria Ii,2,1,0,633
LET1995,Introducao Ao Latim Forense,2,0,0,633
LET9420,Braz Lang Cult Ster Reality,4,4,0,633
MAT1050,Topicos I,4,4,0,833
MAT1051,Topicos Ii,4,4,0,833
MAT1060,Intr A Hist Da Matematica,4,4,0,833
MAT1071,Matematica Espaco E Formas,2,2,0,833
MAT1072,Calculo Na Arquitetura,3,3,0,833
MAT1223,Espacos Vetor/Transf Lineares,4,4,0,833
MAT1224,Estruturas Algebricas I,4,4,0,833
MAT1320,Introducao Matematica Discreta,4,4,0,833
MAT1605,Introducao A Analise,4,4,0,833
MAT1606,Analise Real,4,4,0,833
MAT1612,Analise No Rn,4,4,0,833
MAT1811,Geometria Diferencial,4,4,0,833
MED1330,Saude E Meio Ambiente,2,2,0,244
PSI1011,Midias Intera E Subjetividade,4,4,0,634
PSI1018,Psicanalise Francesa,4,4,0,634
PSI1023,Topicos Em Neurociencias Iii,4,4,0,634
PSI1061,Sensacao E Percepcao,2,2,0,634
PSI1062,Lab Sensacao E Percepcao,2,0,2,634
PSI1063,Aprendizagem E Memoria,2,2,0,634
PSI1064,Lab Aprendizagem E Memoria,2,0,2,634
PSI1065,Motivacao E Emocao,2,2,0,634
PSI1066,Lab De Motivacao E Emocao,2,0,2,634
PSI1067,Pensamento E Linguagem,2,2,0,634
PSI1068,Lab De Pensamento E Linguagem,2,0,2,634
PSI1070,Criatividade,2,2,0,634
PSI1073,Top Em Sensacao E Percepcao,2,2,0,634
PSI1077,Bases Biolog Comportamento,2,2,0,634
PSI1078,Lab Bases Biolog Comport,2,0,2,634
PSI1079,Fundamentos Em Neurociencias,4,4,0,634
PSI1083,Psicopatologia,4,4,0,634
PSI1084,Transtornos Mentais I,4,4,0,634
PSI1085,Transtornos Mentais Ii,4,4,0,634
PSI1086,Psicofarmacologia,2,2,0,634
PSI1088,Psicopatologia Infantil,2,2,0,634
PSI1089,Topicos Em Psicopatologia Iii,4,4,0,634
PSI1091,Psicologia Desenvolvimento Ii,4,4,0,634
PSI1092,Desenv Atipico E Inclusao,2,2,0,634
PSI1100,Historia Da Psicologia Moderna,4,4,0,634
PSI1101,Teorias Da Personalidade,4,4,0,634
PSI1103,Genealogia Prob Psicologica,4,4,0,634
PSI1140,Epistemologia Cientifica,4,4,0,634
PSI1200,Psicanalise I,4,4,0,634
PSI1201,Psicanalise Ii,4,4,0,634
PSI1202,Psicanalise Iii,4,4,0,634
PSI1224,Psicologia Junguiana,4,4,0,634
PSI1225,Psicanalise Britanica,4,4,0,634
PSI1226,Sintomatologias Contemporaneas,4,4,0,634
PSI1232,Psicanalise Intersubjetividade,2,2,0,634
PSI1233,Psicanalise: Clinica E Teoria,2,2,0,634
PSI1238,Topicos Em Psicanalise I,2,2,0,634
PSI1239,Topicos Em Psicanalise Ii,4,4,0,634
PSI1240,Psi Social:Proc Individuais,4,4,0,634
PSI1241,Psi Social:Proc Grupais,4,4,0,634
PSI1242,Psicologia Positiva,2,2,0,634
PSI1243,Psicologia Do Amor,2,2,0,634
PSI1245,Psicologia Organizacional,4,4,0,634
PSI1248,Top Em Psi Organizacional I,2,2,0,634
PSI1306,Saude Coletiva,2,2,0,634
PSI1307,Saude Mental,4,4,0,634
PSI1308,Top Em Psicologia E Saude I,4,4,0,634
PSI1311,Topicos Saude Mental Ii,2,2,0,634
PSI1321,Metodos Quantitativos,2,2,0,634
PSI1322,Lab Metodos Quantitativos,2,0,2,634
PSI1323,Metodos Qualitativos,2,2,0,634
PSI1324,Lab De Metodos Qualitivos,2,0,2,634
PSI1325,Psicometria,2,2,0,634
PSI1326,Lab De Psicometria,2,0,2,634
PSI1327,Pratica Quantitativa,2,0,2,634
PSI1328,Pratica Metodos Qualitativos,2,0,2,634
PSI1333,Top Em Metodos Quantitativos,2,2,0,634
PSI1335,Pesquisa I,2,0,0,634
PSI1336,Pesquisa Ii,2,0,0,634
PSI1340,Psicologia E Instituicoes,4,4,0,634
PSI1341,Direitos Humanos,2,2,0,634
PSI1401,Psicologia Hospitalar,2,2,0,634
PSI1500,Avaliacao Psicologica I,4,4,0,634
PSI1501,Avaliacao Psicologica Ii,2,2,0,634
PSI1502,Lab Avaliacao Psicologica Ii,2,0,2,634
PSI1503,Orientacao Profissional,2,2,0,634
PSI1505,Avaliacao Familiar,2,2,0,634
PSI1507,Avaliacao Neuropsicologica,2,2,0,634
PSI1601,Pesquisa Iii,2,2,0,634
PSI1602,Pesquisa Iv,2,0,4,634
PSI1605,Elaboracao De Monografia,2,2,0,634
PSI1606,Observacao E Entrevista,4,4,0,634
PSI1725,Desenvolvimento Profissional,2,2,0,634
PSI1726,Projeto De Vida,4,4,0,634
PSI1730,Estagio Basico Social,2,2,0,634
PSI1731,Estagio Basico Em Clinica,2,2,0,634
PSI1732,Estagio Profissionalizante I,2,2,0,634
PSI1733,Estagio Profissionalizante Ii,2,2,0,634
PSI1734,Estagio Profissionalizante Iii,2,2,0,634
PSI1735,Estagio Profissionalizante Iv,2,2,0,634
PSI1740,Monografia I,2,0,0,634
PSI1741,Monografia Ii,2,0,0,634
PSI1780,Etica Profissional,2,2,0,634
PSI1808,His Movimento Psicanalitico,2,2,0,634
PSI1811,Topicos Em Genealogia Iii,4,4,0,634
PSI1824,Neuropsicologia,4,4,0,634
PSI1851,Modos Subj Infanc Adolescencia,4,4,0,634
PSI1876,Dinamica De Grupo Ii,4,4,0,634
PSI1880,Psicologia E Esporte,4,4,0,634
PSI1898,Linguagem E Subjetividade,4,4,0,634
PSI1905,Top Em Psi E Instituicoes I,2,2,0,634
PSI1913,Top Teoria Psicanalitica I,2,2,0,634
PSI1932,Psicoter Fenomen-Existencial,4,4,0,634
PSI1933,Psicoter Cognit Comportamental,4,4,0,634
PSI1934,Psicoterapia Junguiana,4,4,0,634
PSI1935,Psicoterapias Corporais,4,4,0,634
PSI1937,Psicoterapia Familia Casal,4,4,0,634
PSI1940,Psicoterapias,6,6,0,634
PSI1941,Psicoterapia De Grupo,4,4,0,634
PSI1942,Topicos Em Psicoterapias I,2,2,0,634
PSI1943,Topicos Em Psicoterapias Ii,2,2,0,634
PSI1944,Topicos Em Psicoterapias Iii,4,4,0,634
PSI1946,Gestalt-Terapia,4,4,0,634
PSI1948,Psicodinamica Integrativa,4,4,0,634
PSI1949,Introducao A Terapia Narrativa,4,4,0,634
PSI1958,Atitude Comport Empreendedor,4,4,0,634
PSI1961,Psi Escolar E Educacional,4,4,0,634
PSI1970,Monografia I,6,0,0,634
PSI1971,Monografia Ii,6,0,0,634
PSI1972,Monitoria I,4,4,0,634
PSI1973,Monitoria Ii,2,2,0,634
PSI1974,Monitoria Iii,4,0,4,634
PSI1975,Monitoria Iv,2,0,2,634
PSI1976,Monitoria I,2,0,2,634
PSI1977,Monitoria Iii,2,0,2,634
PSI1985,Estagio V,10,5,5,634
PSI1986,Estagio Vi,10,5,5,634
QUI1103,Quimica Geral Para Biologia,4,4,0,834
QUI1329,Conc Qui Ambiental P/Biologia,3,3,0,834
QUI1330,Bioquimica Para Biologia,3,3,0,834
QUI1703,Quimica Inorganica I,3,3,0,834
QUI1712,Lab Quimica Inorganica,3,0,3,834
QUI1721,Quimica Analitica A,3,3,0,834
QUI1722,Labor Quimica Analitica A,3,0,3,834
QUI1723,Quimica Analitica B,3,3,0,834
QUI1724,Lab Quimica Analitica B,3,0,3,834
QUI1735,Quimica Analitica C,4,4,0,834
QUI1736,Lab De Quimica Analitica C,3,0,3,834
QUI1737,Quimiometria,4,4,0,834
QUI1768,Bioquimica,3,3,0,834
QUI1845,Trabalho Orientado,2,2,0,834
QUI1962,Fenomenos De Interface,4,4,0,834
QUI1963,Analise Organica,3,2,0,834
QUI1964,Lab Sintese Organica,4,0,0,834
SER1212,Estagio Supervisionado I,6,2,0,736
SER1213,Estagio Supervisionado Ii,6,2,0,736
SER1215,Orient Trab Conclusao Curso Ii,2,2,0,736
SER1222,Seminario Conteudo Variavel,2,2,0,736
SER1224,Seminario Conteudo Variavel,2,2,0,736
SOC1100,Introducao A Sociologia,4,4,0,737
SOC1101,Aventura Sociol (Soc I),4,4,0,737
SOC1102,Sociologia Ii-Estr E Mud Soc,4,4,0,737
SOC1103,Marx E Weber,4,4,0,737
SOC1120,Sociologia Urbana,4,4,0,737
SOC1127,Sociologia E Comunicacao,4,4,0,737
SOC1131,Cult Jovens/Nov Subjetividades,4,4,0,737
SOC1139,Estudos Socio-Antropologicos,2,2,0,737
SOC1144,Teoria Sociol Contemporanea,4,4,0,737
SOC1201,Bases Pensam Pol Ocidental,4,4,0,737
SOC1202,Construcao Liberal E Criticas,4,4,0,737
SOC1203,Inst Politicas Brasileiras,4,4,0,737
SOC1205,Politica I-Teoria Politica,4,4,0,737
SOC1211,Modelo Politico Brasileiro,4,4,0,737
SOC1213,Mulher E Soc I(Mulh E Par Pol),4,4,0,737
SOC1223,Partidos Pol E Eleic No Brasil,4,4,0,737
SOC1227,Teor Politicas Contemporaneas,4,4,0,737
SOC1286,Gestao/Aval Politicas Publicas,4,4,0,737
SOC1294,Ideias Politicas Socialistas,4,4,0,737
SOC1302,Antropologia Cultural,4,4,0,737
SOC1326,Relacoes De Genero,4,4,0,737
SOC1328,Antropologia Da Arte,4,4,0,737
SOC1339,Antropologia Da Musica,4,4,0,737
SOC1340,Antropologia Contemporanea,4,4,0,737
SOC1343,Antropologia Da Violencia,4,4,0,737
SOC1344,Antropologia Do Corpo,4,4,0,737
SOC1345,"Sociedade, Cultura E Cinema",4,4,0,737
SOC1375,Seminario Esp Em Antropologia,2,2,0,737
SOC1430,Pol Publica E Meio Ambiente,4,4,0,737
SOC1505,Metodos Tecnicas Pesquisa I,3,3,0,737
SOC1507,Estatistica Ciencias Sociais,3,3,0,737
SOC1514,Monografia I,3,0,0,737
SOC1515,Monografia Ii,3,0,0,737
SOC1519,Met/Prat Ciencias Sociais Ii,5,2,4,737
SOC1520,Monitoria I,5,2,4,737
SOC1521,Monitoria Ii,5,2,4,737
SOC1570,Seminario Esp Em Metodologia,4,4,0,737
TEO1230,Cristologia,4,4,0,635
TEO1231,O Deus Da Revelacao,4,4,0,635
TEO1234,Monografia,4,2,0,635
TEO1238,Pneumatologia,2,2,0,635
TEO1239,Monografia,2,2,0,635
TEO1240,Introducao Ao Pensar Teologico,4,4,0,635
TEO1241,Teologia Fundamental,4,4,0,635
TEO1242,Antrop Teo I:Criacao E Pecado,4,4,0,635
TEO1245,Eclesiologia,4,4,0,635
TEO1246,Antrop Teo Ii:A Vida Da Graca,4,4,0,635
TEO1252,Escatologia,2,2,0,635
TEO1257,Mariologia,2,2,0,635
TEO1258,Sacramentos I (Introducao),2,2,0,635
TEO1259,Sacramentos Ii (Inic Crista),4,4,0,635
TEO1260,Sacram Iii (Rec/Unc Enfermos),2,2,0,635
TEO1261,Sacram Iv (Ord/Ministerios),2,2,0,635
TEO1262,Sacramentos V (Matrimonio),2,2,0,635
TEO1271,Teologia E Justica,4,4,0,635
TEO1321,Intr Geral A Sagrada Escritura,4,4,0,635
TEO1322,Evang Sin E Atos Dos Apostolos,4,4,0,635
TEO1323,Escritos Joaninos,4,4,0,635
TEO1326,Literatura Profetica,4,4,0,635
TEO1327,Literatura Sapiencial,4,4,0,635
TEO1328,Escrit Paulin E Carta Hebreus,4,4,0,635
TEO1330,Lit Intertestam/Apocaliptica,2,2,0,635
TEO1410,Etica Sexualidade E Bioetica,4,4,0,635
TEO1411,Moral Fundamental,4,4,0,635
TEO1413,Moral Socio-Econ E Politica,4,4,0,635
TEO1517,Historia Da Igreja I,4,4,0,635
TEO1518,Historia Da Igreja Ii,4,4,0,635
TEO1519,Historia Da Igreja No Brasil,2,2,0,635
TEO1520,Patrologia,4,4,0,635
TEO1635,Seminario De Monografia,2,2,0,635
TEO1637,Sintese Teo:Exame Complexivo,12,12,0,635
TEO1640,Seminario Sagrada Escritura,2,2,0,635
TEO1714,Direito Canonico I,4,4,0,635
TEO1715,Direito Canonico Ii,4,4,0,635
TEO1814,Metodo Pesquisa Em Teologia,2,2,0,635
TEO1818,Teo/Campo Rel Brasileiro,2,2,0,635
TEO1902,Lingua Grega Biblica I,2,2,0,635
TEO1907,Lingua Grega Biblica Ii,2,2,0,635
TEO1908,Grego Avancado I,4,4,0,635
TEO1909,Grego Avancado Ii,4,4,0,635
TEO1910,Lingua Hebraica Biblica,2,2,0,635
TEO1911,Lingua Hebraica Biblica Ii,2,2,0,635
TEO1912,Hebraico Avancado I,4,4,0,635
TEO1913,Hebraico Avancado Ii,4,4,0,635
