aluno_id,area_interesse
ALU_6d4ad50a75,Publicidade E Propaganda
ALU_6d4ad50a75,Social Media
ALU_6d4ad50a75,Audiovisual
ALU_43a8bdd089,Análise De Dados
ALU_43a8bdd089,Itália
ALU_43a8bdd089,Investimentos
ALU_43a8bdd089,Informática
ALU_43a8bdd089,Elaboração E Controle De Planilhas
ALU_43a8bdd089,Comércio
ALU_43a8bdd089,Excel
ALU_49adbbad6f,Publicidade E Propaganda
ALU_49adbbad6f,Marketing
ALU_49adbbad6f,Organização E Gestão De Eventos
ALU_49adbbad6f,Relações Públicas
ALU_ba5083a128,Nutrição Clínica
ALU_ba5083a128,Uan (Nutrição Em Indústria)
ALU_ba5083a128,Nutrição E Marketing
ALU_ba5083a128,Nutrição
ALU_ba5083a128,Nutrição Esportiva
ALU_6941a7fecd,Comércio Exterior ; Administração ; Gestão De Projetos ; Gestão De Pessoas
ALU_c9896a952f,"Design, Design Gráfico, Design De Personagens, Arte, Desenho"
ALU_5864529958,Empreendedorismo
ALU_5864529958,Área Social
ALU_5864529958,Finanças
ALU_5864529958,Criptos
ALU_5864529958,Gestão De Dados
ALU_6f3d29b323,"Criativo Em Formação No Curso De  Comunicação (Puc-Rio) E Experiência Prática Em Set Com Direção De Fotografia, Gaffer E Assistência De Câmera. Forte Em Transformar Intenção Narrativa Em Linguagem Audiovisual Clara, Viável E Bem Executada. Em Transição Para Criação Publicitária, Atuando Em Conteúdo E Filme, Conectando Ideia, Referência E Entrega. Tenho Como Objetivo Fazer Uma Ponte Entre A Equipe De Criação E O Cliente, No Ambiente De  Produção, Podendo Auxiliar, Desde Suas Síntese, Na Viabilidade De Projetos ."
ALU_1014d0184e,Neurociências
ALU_1014d0184e,Psicologia
ALU_1014d0184e,Neuropsicologia
ALU_7e979efbff,Magistério
ALU_0597faaebb,"Me Interesso Por Marketing, Inovação, Música, Esportes, Comportamento Humano E Empreendedorismo."
ALU_a1bd8aa241,Psicologia Hospitalar
ALU_a1bd8aa241,Administração
ALU_a1bd8aa241,Recursos Humanos
ALU_19edc0d8ab,Administração Geral
ALU_19edc0d8ab,Finanças
ALU_7279549402,"Busco Uma Oportunidade De Estágio De Administração, Onde Eu Possa Aplicar Meus Conhecimentos. Tenho Interesse Em Contribuir Para O Crescimento Da Empresa, Ao Mesmo Tempo Em Que Desenvolvo Habilidades Práticas E Adquiro Novas Experiências No Setor."
ALU_2665e55170,Desenvolvimento De Briefings Para Clientes
ALU_2665e55170,Produção Criativa De Filmes Publicitário
ALU_2665e55170,Gestão Da Relação Entre Cliente E Empresa Para Clarear Objetivos E Metas
ALU_2665e55170,"Gestão De Estratégias De Marketing Relacionados A Mídia Modernas A Partir De Ferramentas Como Google Workshop, Seo, Tac 2.0 E Outros"
ALU_f534d5e74a,Design Gráfico
ALU_f534d5e74a,Audiovisual
ALU_f534d5e74a,Marketing
ALU_3d8a12abcd,Designer
ALU_3d8a12abcd,Programador (Swift E Python)
ALU_3d8a12abcd,Segmentador Em 3d
ALU_07bec458e5,Construção Civil
ALU_07bec458e5,Canteiro De Obras
ALU_07bec458e5,Projeto De Interiores
ALU_519dc84e15,Administracao
ALU_519dc84e15,Relações Internacionais
ALU_519dc84e15,Comercio Exterior
ALU_c2aefe3302,"Direito- Civil, Penal, Tributário, Ambiental, Empresarial.."
ALU_d9b4515013,Direção De Arte
ALU_d9b4515013,Produção Cultural
ALU_d9b4515013,Artes Visuais
ALU_d9b4515013,Animação
ALU_d9b4515013,Design Gráfico
ALU_d9b4515013,Ilustração
ALU_d9b4515013,Design
ALU_9f52c04dd5,"Mercado Financeiro , Resseguro , Logística, Etc"
ALU_3c69e6d5c5,"Direito. Direito Público: Direito Constitucional, Direito Penal E Processual Penal, Processo Legislativo, Direito Eleitoral. Filosofia Do Direito."
ALU_05a7452cbe,Psicologia Hospitalar
ALU_05a7452cbe,Psicologia Clinica
ALU_05a7452cbe,Psicologia Organizacional
ALU_ea38e29360,"Não Tenho Nenhuma Área Em Específico, Gostaria De Conhecer E Me Aprimorar Nas Seguintes Áreas -Otimização De Processos - Gestão Da Qualidade - Logística E Cadeia De Suprimentos - Engenharia De Sistemas - Planejamento E Controle Da Produção (Pcp) - Análise De Dados E Melhoria Contínua - Gestão De Projetos - Sustentabilidade E Produção Verde - Tecnologias De Automação E Indústria 4.0 - Segurança No Trabalho E Ergonomia - Marketing"
ALU_f80b60c21c,Supply Chain / Mercado Financeiro / Consultoria
ALU_1272a07e53,Marketing
ALU_1272a07e53,Finanças
ALU_276a8a816e,Design
ALU_a29366d4e0,Design Gráfico
ALU_a29366d4e0,Cinema
ALU_a29366d4e0,Design De Moda
ALU_a29366d4e0,Entretenimento
ALU_a29366d4e0,Design
ALU_a29366d4e0,Marketing
ALU_573cc816f8,Consultoria Financeira E Estratégica
ALU_573cc816f8,Mercado Financeiro
ALU_5b354c5074,Área De Consultoria
ALU_5b354c5074,Área De Estratégia
ALU_5b354c5074,Área De Finanças
ALU_71469e3547,Esportes E Contabilidade
ALU_71469e3547,Finanças
ALU_0b15a15cca,"Engenharia, Administração, Filosofia."
ALU_ff6ea1ee03,Data Science
ALU_33a0aad7d8,Psicologia
ALU_33a0aad7d8,Recursos Humanos
ALU_9e5e30c688,Jornalismo
ALU_9e5e30c688,Mídias Digitais
ALU_9e5e30c688,Marketing Digital
ALU_9e5e30c688,Assessoria De Imprensa
ALU_9e5e30c688,Comunicação Interna
ALU_9e5e30c688,Marketing
ALU_23c0341d83,Cinema
ALU_cad436b2ff,Marketing
ALU_3685cf8b73,Análise De Empresa
ALU_3685cf8b73,Área Financeira
ALU_9e175007c4,Finanças
ALU_9e175007c4,Marketing
ALU_3cabadd801,Atividades Ligadas A Marketing Ou Finanças
ALU_107b8e4278,Administrativo
ALU_107b8e4278,Supply Chain (Cadeia De Suprimentos)
ALU_107b8e4278,Comercial
ALU_107b8e4278,Logística
ALU_107b8e4278,Mercado Financeiro
ALU_107b8e4278,Engenharia
ALU_107b8e4278,Consultoria
ALU_7762ac4918,Design Grafico
ALU_d792a46149,Estágio Em Psicologia
ALU_9ae0762c94,Negócios Internacionais
ALU_9ae0762c94,Comércio Exterior
ALU_5e6d85a28b,Design De Moda
ALU_71d2b4ea3f,"Artes, Cultura, Comunicação Social E Ciências Políticas."
ALU_b22a453765,Risco
ALU_b22a453765,Equity Research
ALU_b22a453765,Private Equity
ALU_0917cdb5be,Mercado Financeiro
ALU_0917cdb5be,Consultoria
ALU_fbd1547231,"Psicologia Clínica, Jurídica E Demais Áreas Que Possam Contribuir Para Minha Formação Profissional."
ALU_c957094dec,Tradução
ALU_c957094dec,Gestão De Projetos
ALU_c957094dec,Relações Internacionais
ALU_c957094dec,Recursos Humanos
ALU_7cb8349075,Tecnologia Da Informação
ALU_be340871f9,"Marketing Digital, Redação, Assessoria De Imprensa E Comunicação Interna."
ALU_bfa0ff09a1,"Engenharia, Economia, Administrativo"
ALU_6855ded63a,Gestão De Projetos
ALU_6855ded63a,Estratégia
ALU_cd6bb671ee,Direito
ALU_8c5c77388d,"Clinica, Sus (Caps), Ubsf E Psicologia Hospitalar"
ALU_8c5c77388d,Psicologia Clinica
ALU_40332afa4d,Comércio Internacional
ALU_40332afa4d,Comércio
ALU_40332afa4d,Negócios Internacionais
ALU_628082830a,Branding
ALU_628082830a,Marketing
ALU_1ef2caeefc,Mercado Financeiro
ALU_1ef2caeefc,Consultoria
ALU_8206fd4d88,Desenvolvimento De Software
ALU_ebdf8ac0e0,Pesquisas Psicométricas
ALU_ebdf8ac0e0,Pesquisa Em Neurociências
ALU_ebdf8ac0e0,Psicóloga Clínica
ALU_2f66944a4e,Gestão De Produção / Processos
ALU_0b744b138d,Direção De Arte
ALU_0b744b138d,Edição De Vídeo
ALU_0b744b138d,Design Gráfico
ALU_138be98086,Estagio Em Engenharia Civil
ALU_8c26dfefed,Jornalismo
ALU_8c26dfefed,Jornalismo Esportivo
ALU_8c26dfefed,Marketing
ALU_cf29ad74e4,Design Gráfico E Edição De Vídeos
ALU_cf29ad74e4,Modelagem 3d
ALU_b7e86547bd,Estágio Em Psicologia
ALU_731adbe12a,Publicidade
ALU_731adbe12a,Marketing
ALU_375e56dda3,"Commodities, Materiais, Shipping"
ALU_538133db7d,Banco De Dados
ALU_538133db7d,Desenvolvimento Web
ALU_538133db7d,Jogos
ALU_538133db7d,Ciência De Dados
ALU_38d7aec3e3,Estágio
ALU_7d53a319d9,Filosofia
ALU_8cc31a7a55,Entretenimento
ALU_8cc31a7a55,Inteligência De Negócios
ALU_8cc31a7a55,Comunicação
ALU_8cc31a7a55,Marketing
ALU_8cc31a7a55,Comercial
ALU_ea55953de6,"Consultoria (Membro Do Consulting Club Da Puc), Projetos/Negócios (Cursando Domínio Adicional De Empreendedorismo) E Gestão."
ALU_3efdc06e04,Marketing
ALU_3efdc06e04,Gestão De Projetos
ALU_3efdc06e04,Finanças
ALU_3efdc06e04,Estratégia
ALU_3efdc06e04,Recursos Humanos
ALU_3efdc06e04,Tecnologia E Inovação
ALU_7d7b64e36c,Direito Público
ALU_7d7b64e36c,Direito Trabalhista
ALU_7d7b64e36c,Direito Empresarial
ALU_7aecca3227,Jornalismo Esportivo
ALU_7aecca3227,Jornalismo Cultural
ALU_7ca674cc9c,Comunicação
ALU_7ca674cc9c,Estágio
ALU_7766e2a7a6,Social Media
ALU_7766e2a7a6,Criação
ALU_075d8423f4,Comunicação
ALU_075d8423f4,Audiovisual
ALU_075d8423f4,Marketing
ALU_38f2dfae80,Marketing
ALU_1d124ac85b,Redes Sociais
ALU_1d124ac85b,Mídias Sociais
ALU_983051705a,"Marketing, Comercial E Gestão De Projetos"
ALU_d153011719,"Finanças, Macroeconomia"
ALU_2d43925354,Marketing
ALU_2d43925354,Finanças
ALU_70fb8bcbe3,Psicologia Organizacional
ALU_70fb8bcbe3,Psicologia Clínica
ALU_70fb8bcbe3,Psicologia Escolar
ALU_6f26178960,Jurídico
ALU_2049b5d049,Gestão Financeira
ALU_2049b5d049,Finanças
ALU_2049b5d049,Mercado Financeiro
ALU_2049b5d049,Consultoria Financeira
ALU_2049b5d049,Planejamento Financeiro
ALU_f734a226b9,Arquitetura E Urbanismo
ALU_de1491c0f6,Ciência De Dados
ALU_de1491c0f6,Mercado Financeiro
ALU_0ab48e35ca,Saúde
ALU_0ab48e35ca,Departamento Pessoal/ Rh
ALU_9f0de333d6,Engenharia Mecânica
ALU_9f0de333d6,Óleo E Gás
ALU_9f0de333d6,Energia
ALU_8c1e0d7a3d,Marketing Esportivo
ALU_8c1e0d7a3d,Jornalismo Esportivo
ALU_f7fc717770,Química Inorgânica
ALU_f7fc717770,Engenharia Química
ALU_7aeb5c7b56,"Gestão De Pessoas, Projetos, Marketing, Estratégia, Financeiro"
ALU_618f4d3822,Mercado Financeiro
ALU_5c0081f158,Serviço Social
ALU_40bfa4d457,Mídias Sociais
ALU_40bfa4d457,Fotografia
ALU_40bfa4d457,Edição De Vídeos E Fotos
ALU_fd3a71afba,Estágio
ALU_43260c891b,Direito\ Jurídico
ALU_a4a5a9942a,Marketing
ALU_a4a5a9942a,Comunicação
ALU_a4a5a9942a,Audiovisual
ALU_a4a5a9942a,Eventos
ALU_a4a5a9942a,Social Media
ALU_8ca7df6ff2,Assessoria De Comunicação
ALU_8ca7df6ff2,Jornalismo
ALU_b8f7ad8cf0,Automação
ALU_27a5b02cd0,Estágio Em Psicologia
ALU_bf12c7152c,Marketing
ALU_bf12c7152c,Social Media
ALU_bf12c7152c,Design Gráfico
ALU_fb3e3f2feb,Estágio Jurídico
ALU_0e71c736ed,Direito Internacional
ALU_0e71c736ed,Area Humanitária
ALU_0e71c736ed,Arbitragem
ALU_0e71c736ed,Area Ambiental
ALU_4780ab5cd3,Mercado Financeiro
ALU_d1e9cfe76d,Jornalismo Esportivo
ALU_1afab74fa5,Estágio Em Engenharia Mecanica
ALU_ef1b9e2056,"Comunicação, Com Foco Em Relações Públicas, Marketing, Comunicação Estratégica E Sustentabilidade"
ALU_44be9b6134,Private Equity
ALU_44be9b6134,Gestão De Recursos
ALU_44be9b6134,M&A
ALU_44be9b6134,Mercado Financeiro
ALU_aa180c2426,Assessoria De Comunicação
ALU_aa180c2426,Comunicação Social
ALU_aa180c2426,Mídias Digitais
ALU_e024670b1d,Estágio Em Recursos Humanos
ALU_e024670b1d,Estágio Em Ciência Da Computação.
ALU_d1226ae55d,Pós-Produção Audiovisual
ALU_d1226ae55d,Animação
ALU_d1226ae55d,Produção Audiovisual
ALU_7f9430ace8,Consultoria
ALU_7f9430ace8,Direito Penal
ALU_7f9430ace8,Escritório Jurídico
ALU_7f9430ace8,Direito
ALU_7f9430ace8,Relações Internacionais
ALU_7f9430ace8,Direito Internacional Público
ALU_7f9430ace8,Comércio Exterior
ALU_7f9430ace8,Direito Ambiental
ALU_f4a31827a9,Financeiro
ALU_3a142aa464,Gestão De Banco De Dados
ALU_3a142aa464,Desenvolvimento De Sistemas
ALU_6d7ff8161e,"Assessoria De Imprensa, Jornalismo Esportivo, Jornalismo Cultural, Eventos, Social Media, Comunicação Interna"
ALU_14287b0646,Logística
ALU_14287b0646,Supply Chain
ALU_e52a9bda84,Back-End E Ciência De Dados
ALU_b2cf578abe,Sustentabilidade
ALU_b2cf578abe,Esg
ALU_b2cf578abe,Meio Ambiente
ALU_65c579a1a3,Design
ALU_7062f900f2,Psicometria
ALU_7062f900f2,Recursos Humanos
ALU_7062f900f2,Neuropsicologia
ALU_7062f900f2,Educação
ALU_7062f900f2,Psicologia Jurídica
ALU_e08f23e410,Direito
ALU_29f7c87837,Design
ALU_29f7c87837,Ui/Ux Design
ALU_dbdf97856e,Jurídico
ALU_15c1580601,Comunicação Social E Audiovisual - Experiência Com Softwares De Edição De Vídeo
ALU_b73cebbd5c,"Character Design, Animação, Design Gráfico, Concept Art"
ALU_4d02e1944f,Tradução De Documentos
ALU_4d02e1944f,Editora
ALU_4d02e1944f,Jurídica
ALU_4d02e1944f,Aulas De Inglês
ALU_1fd678ad1d,Engenharia Química
ALU_1fd678ad1d,Engenharia
ALU_1fd678ad1d,Química
ALU_1fd678ad1d,Indústria Química
ALU_1fd678ad1d,Inovação
ALU_1fd678ad1d,Pesquisa
ALU_1fd678ad1d,Processos Industriais
ALU_1fd678ad1d,Segurança
ALU_c4eb6e4fc4,Banco De Dados
ALU_c4eb6e4fc4,"Machine Learning, Deep Learning E Ia"
ALU_c4eb6e4fc4,Ciência De Dados
ALU_c4eb6e4fc4,Software Engineering
ALU_ebf709debd,Desenvolvimento De Projetos
ALU_ebf709debd,Produção Musical
ALU_ebf709debd,Comunicação Em Mídias Sociais
ALU_d198419bba,Design De Produto
ALU_7fd37ecb48,Informática
ALU_a721dbab5b,Direito Penal
ALU_a721dbab5b,Direito Constitucional
ALU_a721dbab5b,Direito Civil
ALU_fa10b628c6,Serviço Social - Estágio Obrigatório
ALU_494cd46b3b,Ti
ALU_494cd46b3b,Pentest
ALU_494cd46b3b,Programação
ALU_5c43282883,"Artes, Design, Administração, Marketing, Artes Cênicas, Ciências Sociais"
ALU_be9f9f4383,Estágio Em Nutrição
ALU_65b689c55e,Sistemas De Software
ALU_c83f0d311e,Secretaria; Recepção; Monitoria; Organização; Escrita De Cartas; Planejamento;
ALU_9aa1838ecf,Segurança Da Informação
ALU_9aa1838ecf,Sales
ALU_9aa1838ecf,Ti
ALU_dc4d46a3e5,"Áreas De Inovação, Criação, Design, Artes Visuais E/Ou Gráficas E Prototipação"
ALU_acd3fd50a2,"Desenvolvimento De Peças Gráficas Diversas (Identidade Visual, Pôsteres/Cartazes, Folhetos, Catálogos, Revistas, Livros, Capas De Discos), Tipografia, Diagramação, Pesquisa De Mercado, Pesquisa Em Design (Sobretudo A Parte De História Do Design E A Ressignificação Cultural Das Últimas Seis Décadas) E Curadoria De Conteúdos (Imagens, Textos)."
ALU_86f66564a6,Direito Bancário
ALU_86f66564a6,Família E Sucessões
ALU_86f66564a6,Jurídico
ALU_86f66564a6,Direito Do Consumidor
ALU_86f66564a6,Controladoria Jurídica
ALU_86f66564a6,Contencioso Cível
ALU_86f66564a6,Contratos
ALU_86f66564a6,Direito Do Trabalho
ALU_86f66564a6,Compliance
ALU_51a93ca547,Design
ALU_51a93ca547,Brand Design
ALU_51a93ca547,Marketing Em Música
ALU_6e3c0e4710,Design
ALU_57bc3471b9,Societario
ALU_179993f337,"Engenharia, Projetos, Planejamento E Controle De Produção"
